Column,Row,Metric,Seasonal Metric,Annual Metric,Values
2137,642,D24HourMean,QuarterlyMean,Mean,28.739812819
2137,643,D24HourMean,QuarterlyMean,Mean,28.110395159
2137,644,D24HourMean,QuarterlyMean,Mean,29.165336403
2138,636,D24HourMean,QuarterlyMean,Mean,24.967865253
2138,637,D24HourMean,QuarterlyMean,Mean,25.322137656
2138,638,D24HourMean,QuarterlyMean,Mean,25.594540097
2138,639,D24HourMean,QuarterlyMean,Mean,25.032708908
2138,640,D24HourMean,QuarterlyMean,Mean,24.973374382
2138,641,D24HourMean,QuarterlyMean,Mean,27.159317918
2138,642,D24HourMean,QuarterlyMean,Mean,27.119247307
2138,643,D24HourMean,QuarterlyMean,Mean,28.828620052
2139,636,D24HourMean,QuarterlyMean,Mean,25.475235731
2139,637,D24HourMean,QuarterlyMean,Mean,25.858562022
2139,638,D24HourMean,QuarterlyMean,Mean,25.515347703
2139,639,D24HourMean,QuarterlyMean,Mean,25.076093215
2139,640,D24HourMean,QuarterlyMean,Mean,25.327631694
2139,641,D24HourMean,QuarterlyMean,Mean,27.570617362
2139,642,D24HourMean,QuarterlyMean,Mean,28.15610331
2139,643,D24HourMean,QuarterlyMean,Mean,29.544145903
2140,635,D24HourMean,QuarterlyMean,Mean,25.372697306
2140,636,D24HourMean,QuarterlyMean,Mean,25.603348025
2140,637,D24HourMean,QuarterlyMean,Mean,26.108475348
2140,638,D24HourMean,QuarterlyMean,Mean,24.979380564
2140,639,D24HourMean,QuarterlyMean,Mean,24.632113062
2140,640,D24HourMean,QuarterlyMean,Mean,25.035287436
2140,641,D24HourMean,QuarterlyMean,Mean,27.507775269
2140,642,D24HourMean,QuarterlyMean,Mean,28.236396867
2140,643,D24HourMean,QuarterlyMean,Mean,29.882022173
2141,632,D24HourMean,QuarterlyMean,Mean,24.105868549
2141,633,D24HourMean,QuarterlyMean,Mean,25.246985736
2141,634,D24HourMean,QuarterlyMean,Mean,24.673575998
2141,635,D24HourMean,QuarterlyMean,Mean,25.148152969
2141,636,D24HourMean,QuarterlyMean,Mean,26.234881901
2141,637,D24HourMean,QuarterlyMean,Mean,26.114785123
2141,638,D24HourMean,QuarterlyMean,Mean,25.684909365
2141,639,D24HourMean,QuarterlyMean,Mean,25.593541131
2141,640,D24HourMean,QuarterlyMean,Mean,26.657022367
2141,641,D24HourMean,QuarterlyMean,Mean,27.551741319
2141,642,D24HourMean,QuarterlyMean,Mean,27.672758256
2141,643,D24HourMean,QuarterlyMean,Mean,29.034479694
2141,644,D24HourMean,QuarterlyMean,Mean,29.357766131
2142,632,D24HourMean,QuarterlyMean,Mean,22.878275997
2142,633,D24HourMean,QuarterlyMean,Mean,24.124338373
2142,634,D24HourMean,QuarterlyMean,Mean,24.402852161
2142,635,D24HourMean,QuarterlyMean,Mean,24.791024087
2142,636,D24HourMean,QuarterlyMean,Mean,26.653134394
2142,637,D24HourMean,QuarterlyMean,Mean,25.628814503
2142,638,D24HourMean,QuarterlyMean,Mean,25.799548853
2142,639,D24HourMean,QuarterlyMean,Mean,26.394554343
2142,640,D24HourMean,QuarterlyMean,Mean,27.129722169
2142,641,D24HourMean,QuarterlyMean,Mean,26.602893699
2142,642,D24HourMean,QuarterlyMean,Mean,27.89662129
2142,643,D24HourMean,QuarterlyMean,Mean,28.168526332
2142,644,D24HourMean,QuarterlyMean,Mean,27.931363198
2142,645,D24HourMean,QuarterlyMean,Mean,28.321191151
2142,646,D24HourMean,QuarterlyMean,Mean,27.887658722
2142,647,D24HourMean,QuarterlyMean,Mean,29.138776663
2142,648,D24HourMean,QuarterlyMean,Mean,28.914379159
2142,649,D24HourMean,QuarterlyMean,Mean,30.019215677
2142,650,D24HourMean,QuarterlyMean,Mean,28.829680831
2142,651,D24HourMean,QuarterlyMean,Mean,28.038688849
2142,652,D24HourMean,QuarterlyMean,Mean,28.039999642
2142,653,D24HourMean,QuarterlyMean,Mean,27.772375266
2142,654,D24HourMean,QuarterlyMean,Mean,28.472629025
2142,655,D24HourMean,QuarterlyMean,Mean,27.455853333
2142,656,D24HourMean,QuarterlyMean,Mean,27.76576086
2143,630,D24HourMean,QuarterlyMean,Mean,22.772595098
2143,631,D24HourMean,QuarterlyMean,Mean,22.697658748
2143,632,D24HourMean,QuarterlyMean,Mean,23.10196479
2143,633,D24HourMean,QuarterlyMean,Mean,24.020500743
2143,634,D24HourMean,QuarterlyMean,Mean,25.476769481
2143,635,D24HourMean,QuarterlyMean,Mean,25.660736661
2143,636,D24HourMean,QuarterlyMean,Mean,26.099551204
2143,637,D24HourMean,QuarterlyMean,Mean,25.463511868
2143,638,D24HourMean,QuarterlyMean,Mean,24.692492054
2143,639,D24HourMean,QuarterlyMean,Mean,25.145051035
2143,640,D24HourMean,QuarterlyMean,Mean,26.941229983
2143,641,D24HourMean,QuarterlyMean,Mean,27.048218779
2143,642,D24HourMean,QuarterlyMean,Mean,27.185665584
2143,643,D24HourMean,QuarterlyMean,Mean,28.155447718
2143,644,D24HourMean,QuarterlyMean,Mean,27.949410138
2143,645,D24HourMean,QuarterlyMean,Mean,27.762027637
2143,646,D24HourMean,QuarterlyMean,Mean,27.979320953
2143,647,D24HourMean,QuarterlyMean,Mean,28.346041083
2143,648,D24HourMean,QuarterlyMean,Mean,28.157578016
2143,649,D24HourMean,QuarterlyMean,Mean,29.352991294
2143,650,D24HourMean,QuarterlyMean,Mean,27.565890156
2143,651,D24HourMean,QuarterlyMean,Mean,27.820717847
2143,652,D24HourMean,QuarterlyMean,Mean,27.849070295
2143,653,D24HourMean,QuarterlyMean,Mean,28.402761485
2143,654,D24HourMean,QuarterlyMean,Mean,27.415620834
2143,655,D24HourMean,QuarterlyMean,Mean,27.245773472
2143,656,D24HourMean,QuarterlyMean,Mean,27.558235961
2143,657,D24HourMean,QuarterlyMean,Mean,28.397458671
2143,658,D24HourMean,QuarterlyMean,Mean,29.337463074
2143,659,D24HourMean,QuarterlyMean,Mean,29.343670675
2144,630,D24HourMean,QuarterlyMean,Mean,21.829066082
2144,631,D24HourMean,QuarterlyMean,Mean,21.776952374
2144,632,D24HourMean,QuarterlyMean,Mean,22.350253346
2144,633,D24HourMean,QuarterlyMean,Mean,22.580054402
2144,634,D24HourMean,QuarterlyMean,Mean,24.086500709
2144,635,D24HourMean,QuarterlyMean,Mean,26.486751017
2144,636,D24HourMean,QuarterlyMean,Mean,26.227769205
2144,637,D24HourMean,QuarterlyMean,Mean,26.131809469
2144,638,D24HourMean,QuarterlyMean,Mean,25.849503277
2144,639,D24HourMean,QuarterlyMean,Mean,25.77501298
2144,640,D24HourMean,QuarterlyMean,Mean,26.620887105
2144,641,D24HourMean,QuarterlyMean,Mean,27.08466947
2144,642,D24HourMean,QuarterlyMean,Mean,26.708152712
2144,643,D24HourMean,QuarterlyMean,Mean,27.862943631
2144,644,D24HourMean,QuarterlyMean,Mean,28.616038976
2144,645,D24HourMean,QuarterlyMean,Mean,28.123398397
2144,646,D24HourMean,QuarterlyMean,Mean,28.530640668
2144,647,D24HourMean,QuarterlyMean,Mean,28.320298351
2144,648,D24HourMean,QuarterlyMean,Mean,28.274107399
2144,649,D24HourMean,QuarterlyMean,Mean,28.563827278
2144,650,D24HourMean,QuarterlyMean,Mean,27.443144935
2144,651,D24HourMean,QuarterlyMean,Mean,28.574429804
2144,652,D24HourMean,QuarterlyMean,Mean,27.709660205
2144,653,D24HourMean,QuarterlyMean,Mean,26.758895074
2144,654,D24HourMean,QuarterlyMean,Mean,26.198271165
2144,655,D24HourMean,QuarterlyMean,Mean,27.144238713
2144,656,D24HourMean,QuarterlyMean,Mean,28.160571832
2144,657,D24HourMean,QuarterlyMean,Mean,28.258870728
2144,658,D24HourMean,QuarterlyMean,Mean,28.418933333
2144,659,D24HourMean,QuarterlyMean,Mean,29.940773429
2144,660,D24HourMean,QuarterlyMean,Mean,29.76090662
2144,661,D24HourMean,QuarterlyMean,Mean,29.255137747
2144,662,D24HourMean,QuarterlyMean,Mean,29.264711289
2144,663,D24HourMean,QuarterlyMean,Mean,28.833852019
2144,664,D24HourMean,QuarterlyMean,Mean,29.046033706
2144,665,D24HourMean,QuarterlyMean,Mean,29.596664485
2145,629,D24HourMean,QuarterlyMean,Mean,22.349549563
2145,630,D24HourMean,QuarterlyMean,Mean,21.027439055
2145,631,D24HourMean,QuarterlyMean,Mean,21.750319951
2145,632,D24HourMean,QuarterlyMean,Mean,22.758350358
2145,633,D24HourMean,QuarterlyMean,Mean,22.729182313
2145,634,D24HourMean,QuarterlyMean,Mean,23.943078901
2145,635,D24HourMean,QuarterlyMean,Mean,26.410928631
2145,636,D24HourMean,QuarterlyMean,Mean,26.379786702
2145,637,D24HourMean,QuarterlyMean,Mean,26.17358417
2145,638,D24HourMean,QuarterlyMean,Mean,26.387575257
2145,639,D24HourMean,QuarterlyMean,Mean,26.081627172
2145,640,D24HourMean,QuarterlyMean,Mean,26.366898368
2145,641,D24HourMean,QuarterlyMean,Mean,26.276386235
2145,642,D24HourMean,QuarterlyMean,Mean,25.308468014
2145,643,D24HourMean,QuarterlyMean,Mean,25.67472116
2145,644,D24HourMean,QuarterlyMean,Mean,28.809971066
2145,645,D24HourMean,QuarterlyMean,Mean,29.514118021
2145,646,D24HourMean,QuarterlyMean,Mean,29.143014755
2145,647,D24HourMean,QuarterlyMean,Mean,28.395783778
2145,648,D24HourMean,QuarterlyMean,Mean,28.569869313
2145,649,D24HourMean,QuarterlyMean,Mean,28.279157368
2145,650,D24HourMean,QuarterlyMean,Mean,27.249938426
2145,651,D24HourMean,QuarterlyMean,Mean,29.229262283
2145,652,D24HourMean,QuarterlyMean,Mean,28.698138425
2145,653,D24HourMean,QuarterlyMean,Mean,26.966521651
2145,654,D24HourMean,QuarterlyMean,Mean,27.372039858
2145,655,D24HourMean,QuarterlyMean,Mean,26.776877737
2145,656,D24HourMean,QuarterlyMean,Mean,27.740255673
2145,657,D24HourMean,QuarterlyMean,Mean,28.473795436
2145,658,D24HourMean,QuarterlyMean,Mean,29.01253686
2145,659,D24HourMean,QuarterlyMean,Mean,29.182325667
2145,660,D24HourMean,QuarterlyMean,Mean,29.90464395
2145,661,D24HourMean,QuarterlyMean,Mean,29.52471483
2145,662,D24HourMean,QuarterlyMean,Mean,30.042563616
2145,663,D24HourMean,QuarterlyMean,Mean,28.521894133
2145,664,D24HourMean,QuarterlyMean,Mean,27.452625637
2145,665,D24HourMean,QuarterlyMean,Mean,27.986785499
2145,666,D24HourMean,QuarterlyMean,Mean,28.235722341
2145,667,D24HourMean,QuarterlyMean,Mean,30.208105191
2146,627,D24HourMean,QuarterlyMean,Mean,22.073349214
2146,628,D24HourMean,QuarterlyMean,Mean,22.174836739
2146,629,D24HourMean,QuarterlyMean,Mean,20.700758915
2146,630,D24HourMean,QuarterlyMean,Mean,20.727833061
2146,631,D24HourMean,QuarterlyMean,Mean,21.539160506
2146,632,D24HourMean,QuarterlyMean,Mean,23.167290561
2146,633,D24HourMean,QuarterlyMean,Mean,23.407994866
2146,634,D24HourMean,QuarterlyMean,Mean,25.289472802
2146,635,D24HourMean,QuarterlyMean,Mean,26.440714863
2146,636,D24HourMean,QuarterlyMean,Mean,26.145832306
2146,637,D24HourMean,QuarterlyMean,Mean,25.441376185
2146,638,D24HourMean,QuarterlyMean,Mean,26.226136364
2146,639,D24HourMean,QuarterlyMean,Mean,25.533760582
2146,640,D24HourMean,QuarterlyMean,Mean,24.883431144
2146,641,D24HourMean,QuarterlyMean,Mean,25.586954874
2146,642,D24HourMean,QuarterlyMean,Mean,30.423583221
2146,643,D24HourMean,QuarterlyMean,Mean,25.228075332
2146,644,D24HourMean,QuarterlyMean,Mean,28.239103076
2146,645,D24HourMean,QuarterlyMean,Mean,28.612983209
2146,646,D24HourMean,QuarterlyMean,Mean,28.881545844
2146,647,D24HourMean,QuarterlyMean,Mean,28.331070281
2146,648,D24HourMean,QuarterlyMean,Mean,28.052404023
2146,649,D24HourMean,QuarterlyMean,Mean,27.254004185
2146,650,D24HourMean,QuarterlyMean,Mean,27.107544447
2146,651,D24HourMean,QuarterlyMean,Mean,28.854193926
2146,652,D24HourMean,QuarterlyMean,Mean,28.558327885
2146,653,D24HourMean,QuarterlyMean,Mean,28.641762734
2146,654,D24HourMean,QuarterlyMean,Mean,29.587993293
2146,655,D24HourMean,QuarterlyMean,Mean,29.373176283
2146,656,D24HourMean,QuarterlyMean,Mean,28.052232224
2146,657,D24HourMean,QuarterlyMean,Mean,27.790938544
2146,658,D24HourMean,QuarterlyMean,Mean,27.844974068
2146,659,D24HourMean,QuarterlyMean,Mean,28.22940854
2146,660,D24HourMean,QuarterlyMean,Mean,29.154793317
2146,661,D24HourMean,QuarterlyMean,Mean,29.113555578
2146,662,D24HourMean,QuarterlyMean,Mean,28.38626419
2146,663,D24HourMean,QuarterlyMean,Mean,28.363189048
2146,664,D24HourMean,QuarterlyMean,Mean,28.865938018
2146,665,D24HourMean,QuarterlyMean,Mean,29.000065447
2146,666,D24HourMean,QuarterlyMean,Mean,28.718778638
2146,667,D24HourMean,QuarterlyMean,Mean,27.367285753
2146,668,D24HourMean,QuarterlyMean,Mean,27.039822276
2147,627,D24HourMean,QuarterlyMean,Mean,20.631668159
2147,628,D24HourMean,QuarterlyMean,Mean,21.368024145
2147,629,D24HourMean,QuarterlyMean,Mean,20.779939917
2147,630,D24HourMean,QuarterlyMean,Mean,21.41001435
2147,631,D24HourMean,QuarterlyMean,Mean,21.604841163
2147,632,D24HourMean,QuarterlyMean,Mean,22.682612535
2147,633,D24HourMean,QuarterlyMean,Mean,23.945198205
2147,634,D24HourMean,QuarterlyMean,Mean,24.988730412
2147,635,D24HourMean,QuarterlyMean,Mean,25.74325913
2147,636,D24HourMean,QuarterlyMean,Mean,25.311259966
2147,637,D24HourMean,QuarterlyMean,Mean,25.081460512
2147,638,D24HourMean,QuarterlyMean,Mean,25.325386673
2147,639,D24HourMean,QuarterlyMean,Mean,25.762892284
2147,640,D24HourMean,QuarterlyMean,Mean,24.736137562
2147,641,D24HourMean,QuarterlyMean,Mean,25.042890635
2147,642,D24HourMean,QuarterlyMean,Mean,28.164512286
2147,643,D24HourMean,QuarterlyMean,Mean,25.949264191
2147,644,D24HourMean,QuarterlyMean,Mean,28.949167717
2147,645,D24HourMean,QuarterlyMean,Mean,28.833230238
2147,646,D24HourMean,QuarterlyMean,Mean,26.888750205
2147,647,D24HourMean,QuarterlyMean,Mean,26.48416219
2147,648,D24HourMean,QuarterlyMean,Mean,27.524537618
2147,649,D24HourMean,QuarterlyMean,Mean,26.963057278
2147,650,D24HourMean,QuarterlyMean,Mean,27.211337971
2147,651,D24HourMean,QuarterlyMean,Mean,28.122009056
2147,652,D24HourMean,QuarterlyMean,Mean,28.832145345
2147,653,D24HourMean,QuarterlyMean,Mean,28.718282049
2147,654,D24HourMean,QuarterlyMean,Mean,28.47617865
2147,655,D24HourMean,QuarterlyMean,Mean,29.342777102
2147,656,D24HourMean,QuarterlyMean,Mean,27.664410792
2147,657,D24HourMean,QuarterlyMean,Mean,26.954172676
2147,658,D24HourMean,QuarterlyMean,Mean,28.132628996
2147,659,D24HourMean,QuarterlyMean,Mean,28.047807532
2147,660,D24HourMean,QuarterlyMean,Mean,28.629879913
2147,661,D24HourMean,QuarterlyMean,Mean,28.403420812
2147,662,D24HourMean,QuarterlyMean,Mean,28.67030119
2147,663,D24HourMean,QuarterlyMean,Mean,28.732848121
2147,664,D24HourMean,QuarterlyMean,Mean,28.954742622
2147,665,D24HourMean,QuarterlyMean,Mean,29.238087648
2147,666,D24HourMean,QuarterlyMean,Mean,29.551151395
2147,667,D24HourMean,QuarterlyMean,Mean,30.761559383
2147,668,D24HourMean,QuarterlyMean,Mean,30.158606339
2148,626,D24HourMean,QuarterlyMean,Mean,20.275367202
2148,627,D24HourMean,QuarterlyMean,Mean,19.796389232
2148,628,D24HourMean,QuarterlyMean,Mean,20.39099855
2148,629,D24HourMean,QuarterlyMean,Mean,21.261201765
2148,630,D24HourMean,QuarterlyMean,Mean,22.01295925
2148,631,D24HourMean,QuarterlyMean,Mean,22.335731628
2148,632,D24HourMean,QuarterlyMean,Mean,22.780041548
2148,633,D24HourMean,QuarterlyMean,Mean,23.409009635
2148,634,D24HourMean,QuarterlyMean,Mean,23.750357663
2148,635,D24HourMean,QuarterlyMean,Mean,25.241678384
2148,636,D24HourMean,QuarterlyMean,Mean,24.874983541
2148,637,D24HourMean,QuarterlyMean,Mean,24.490826448
2148,638,D24HourMean,QuarterlyMean,Mean,24.437740885
2148,639,D24HourMean,QuarterlyMean,Mean,24.740596579
2148,640,D24HourMean,QuarterlyMean,Mean,24.076281708
2148,641,D24HourMean,QuarterlyMean,Mean,24.839567226
2148,642,D24HourMean,QuarterlyMean,Mean,25.413540594
2148,643,D24HourMean,QuarterlyMean,Mean,28.51952786
2148,644,D24HourMean,QuarterlyMean,Mean,28.142939447
2148,645,D24HourMean,QuarterlyMean,Mean,27.403911175
2148,646,D24HourMean,QuarterlyMean,Mean,27.008030143
2148,647,D24HourMean,QuarterlyMean,Mean,26.242746123
2148,648,D24HourMean,QuarterlyMean,Mean,27.188164197
2148,649,D24HourMean,QuarterlyMean,Mean,27.163480762
2148,650,D24HourMean,QuarterlyMean,Mean,27.603490007
2148,651,D24HourMean,QuarterlyMean,Mean,27.715657163
2148,652,D24HourMean,QuarterlyMean,Mean,27.967857748
2148,653,D24HourMean,QuarterlyMean,Mean,28.14035969
2148,654,D24HourMean,QuarterlyMean,Mean,28.665481646
2148,655,D24HourMean,QuarterlyMean,Mean,28.964650134
2148,656,D24HourMean,QuarterlyMean,Mean,28.490062745
2148,657,D24HourMean,QuarterlyMean,Mean,28.448609006
2148,658,D24HourMean,QuarterlyMean,Mean,28.278286649
2148,659,D24HourMean,QuarterlyMean,Mean,29.728969091
2148,660,D24HourMean,QuarterlyMean,Mean,29.451247564
2148,661,D24HourMean,QuarterlyMean,Mean,28.531857853
2148,662,D24HourMean,QuarterlyMean,Mean,27.952947882
2148,663,D24HourMean,QuarterlyMean,Mean,28.843600516
2148,664,D24HourMean,QuarterlyMean,Mean,28.379903248
2148,665,D24HourMean,QuarterlyMean,Mean,28.330270059
2148,666,D24HourMean,QuarterlyMean,Mean,29.962069686
2148,667,D24HourMean,QuarterlyMean,Mean,30.231040731
2149,626,D24HourMean,QuarterlyMean,Mean,20.182898746
2149,627,D24HourMean,QuarterlyMean,Mean,20.029504459
2149,628,D24HourMean,QuarterlyMean,Mean,20.672214347
2149,629,D24HourMean,QuarterlyMean,Mean,21.531930184
2149,630,D24HourMean,QuarterlyMean,Mean,22.740420174
2149,631,D24HourMean,QuarterlyMean,Mean,22.675856946
2149,632,D24HourMean,QuarterlyMean,Mean,22.487087429
2149,633,D24HourMean,QuarterlyMean,Mean,22.71685972
2149,634,D24HourMean,QuarterlyMean,Mean,23.406156962
2149,635,D24HourMean,QuarterlyMean,Mean,25.293264462
2149,636,D24HourMean,QuarterlyMean,Mean,24.390511505
2149,637,D24HourMean,QuarterlyMean,Mean,23.754342584
2149,638,D24HourMean,QuarterlyMean,Mean,23.219739047
2149,639,D24HourMean,QuarterlyMean,Mean,23.7399648
2149,640,D24HourMean,QuarterlyMean,Mean,24.098954435
2149,641,D24HourMean,QuarterlyMean,Mean,24.19440667
2149,642,D24HourMean,QuarterlyMean,Mean,29.12462608
2149,643,D24HourMean,QuarterlyMean,Mean,29.183682515
2149,644,D24HourMean,QuarterlyMean,Mean,27.825955338
2149,645,D24HourMean,QuarterlyMean,Mean,27.741288058
2149,646,D24HourMean,QuarterlyMean,Mean,26.670552172
2149,647,D24HourMean,QuarterlyMean,Mean,26.8209713
2149,648,D24HourMean,QuarterlyMean,Mean,26.891977827
2149,649,D24HourMean,QuarterlyMean,Mean,26.638621371
2149,650,D24HourMean,QuarterlyMean,Mean,26.972241754
2149,651,D24HourMean,QuarterlyMean,Mean,27.234183021
2149,652,D24HourMean,QuarterlyMean,Mean,28.041464694
2149,653,D24HourMean,QuarterlyMean,Mean,28.100893846
2149,654,D24HourMean,QuarterlyMean,Mean,28.019363241
2149,655,D24HourMean,QuarterlyMean,Mean,29.423632714
2149,656,D24HourMean,QuarterlyMean,Mean,29.413790839
2149,657,D24HourMean,QuarterlyMean,Mean,29.789366383
2149,658,D24HourMean,QuarterlyMean,Mean,29.019248577
2149,659,D24HourMean,QuarterlyMean,Mean,29.915612159
2149,660,D24HourMean,QuarterlyMean,Mean,30.154437913
2149,661,D24HourMean,QuarterlyMean,Mean,29.534961071
2149,662,D24HourMean,QuarterlyMean,Mean,29.023847803
2149,663,D24HourMean,QuarterlyMean,Mean,28.852290135
2149,664,D24HourMean,QuarterlyMean,Mean,29.302467454
2149,665,D24HourMean,QuarterlyMean,Mean,28.607565397
2149,666,D24HourMean,QuarterlyMean,Mean,28.68330887
2150,625,D24HourMean,QuarterlyMean,Mean,21.059510431
2150,626,D24HourMean,QuarterlyMean,Mean,20.567584069
2150,627,D24HourMean,QuarterlyMean,Mean,20.421170239
2150,628,D24HourMean,QuarterlyMean,Mean,22.101916066
2150,629,D24HourMean,QuarterlyMean,Mean,22.901540613
2150,630,D24HourMean,QuarterlyMean,Mean,24.505013879
2150,631,D24HourMean,QuarterlyMean,Mean,24.723276457
2150,632,D24HourMean,QuarterlyMean,Mean,23.969410839
2150,633,D24HourMean,QuarterlyMean,Mean,24.528873588
2150,634,D24HourMean,QuarterlyMean,Mean,25.495071806
2150,635,D24HourMean,QuarterlyMean,Mean,25.431832846
2150,636,D24HourMean,QuarterlyMean,Mean,24.339774637
2150,637,D24HourMean,QuarterlyMean,Mean,24.223048028
2150,638,D24HourMean,QuarterlyMean,Mean,24.050541104
2150,639,D24HourMean,QuarterlyMean,Mean,23.690797979
2150,640,D24HourMean,QuarterlyMean,Mean,24.63043548
2150,641,D24HourMean,QuarterlyMean,Mean,23.966905986
2150,642,D24HourMean,QuarterlyMean,Mean,28.764306139
2150,643,D24HourMean,QuarterlyMean,Mean,28.848604631
2150,644,D24HourMean,QuarterlyMean,Mean,28.934752299
2150,645,D24HourMean,QuarterlyMean,Mean,27.93220168
2150,646,D24HourMean,QuarterlyMean,Mean,27.056734919
2150,647,D24HourMean,QuarterlyMean,Mean,26.944759812
2150,648,D24HourMean,QuarterlyMean,Mean,27.527698423
2150,649,D24HourMean,QuarterlyMean,Mean,27.773627142
2150,650,D24HourMean,QuarterlyMean,Mean,27.107179797
2150,651,D24HourMean,QuarterlyMean,Mean,27.632514302
2150,652,D24HourMean,QuarterlyMean,Mean,27.86615037
2150,653,D24HourMean,QuarterlyMean,Mean,27.712152574
2150,654,D24HourMean,QuarterlyMean,Mean,27.950622189
2150,655,D24HourMean,QuarterlyMean,Mean,29.291916887
2150,656,D24HourMean,QuarterlyMean,Mean,29.648832126
2150,657,D24HourMean,QuarterlyMean,Mean,30.360781688
2150,658,D24HourMean,QuarterlyMean,Mean,31.067886502
2150,659,D24HourMean,QuarterlyMean,Mean,30.301421326
2150,660,D24HourMean,QuarterlyMean,Mean,29.398132446
2150,661,D24HourMean,QuarterlyMean,Mean,29.275126621
2150,662,D24HourMean,QuarterlyMean,Mean,28.841615289
2150,663,D24HourMean,QuarterlyMean,Mean,29.192154776
2150,664,D24HourMean,QuarterlyMean,Mean,29.117708952
2150,665,D24HourMean,QuarterlyMean,Mean,29.155242197
2150,666,D24HourMean,QuarterlyMean,Mean,29.15968719
2150,667,D24HourMean,QuarterlyMean,Mean,28.707185368
2151,618,D24HourMean,QuarterlyMean,Mean,20.264464653
2151,619,D24HourMean,QuarterlyMean,Mean,19.541284485
2151,620,D24HourMean,QuarterlyMean,Mean,19.063215518
2151,621,D24HourMean,QuarterlyMean,Mean,19.595190889
2151,622,D24HourMean,QuarterlyMean,Mean,20.649942805
2151,623,D24HourMean,QuarterlyMean,Mean,19.858686015
2151,624,D24HourMean,QuarterlyMean,Mean,20.573572928
2151,625,D24HourMean,QuarterlyMean,Mean,20.013678582
2151,626,D24HourMean,QuarterlyMean,Mean,20.790290929
2151,627,D24HourMean,QuarterlyMean,Mean,19.760567317
2151,628,D24HourMean,QuarterlyMean,Mean,21.873447497
2151,629,D24HourMean,QuarterlyMean,Mean,23.013213855
2151,630,D24HourMean,QuarterlyMean,Mean,23.670312148
2151,631,D24HourMean,QuarterlyMean,Mean,24.929272856
2151,632,D24HourMean,QuarterlyMean,Mean,24.677155076
2151,633,D24HourMean,QuarterlyMean,Mean,25.096412967
2151,634,D24HourMean,QuarterlyMean,Mean,25.146205311
2151,635,D24HourMean,QuarterlyMean,Mean,25.001533677
2151,636,D24HourMean,QuarterlyMean,Mean,24.747535744
2151,637,D24HourMean,QuarterlyMean,Mean,24.161961122
2151,638,D24HourMean,QuarterlyMean,Mean,23.913503475
2151,639,D24HourMean,QuarterlyMean,Mean,23.656889639
2151,640,D24HourMean,QuarterlyMean,Mean,23.853909053
2151,641,D24HourMean,QuarterlyMean,Mean,23.760818753
2151,642,D24HourMean,QuarterlyMean,Mean,27.66585857
2151,643,D24HourMean,QuarterlyMean,Mean,26.638614232
2151,644,D24HourMean,QuarterlyMean,Mean,27.843865954
2151,645,D24HourMean,QuarterlyMean,Mean,28.509127831
2151,646,D24HourMean,QuarterlyMean,Mean,27.444771223
2151,647,D24HourMean,QuarterlyMean,Mean,28.076144523
2151,648,D24HourMean,QuarterlyMean,Mean,28.276198501
